metal_fraction,porosity_fraction,n_components,specimen_area,z_index,build_z_um,approx_layer
0.31236215515997534,1.2689936626456488e-05,1,394013,264,-230.93097,-5.7732744
0.3124564961288491,1.776045710342168e-05,1,394134,265,-228.92847,-5.723212
0.3125421165039615,2.2828560050527214e-05,2,394243,266,-226.92596,-5.673149
0.31257144941025,4.818800423039953e-05,2,394289,267,-224.92346,-5.6230865
0.312590476160275,5.3256643766309845e-05,1,394317,268,-222.92096,-5.573024
0.3125666927227438,3.8044126113741795e-05,3,394279,269,-220.91852,-5.522963
0.3124913785038949,1.2684817795277189e-05,4,394172,270,-218.91602,-5.4729004
0.3124319199100669,1.7761989342806394e-05,2,394100,271,-216.91351,-5.4228377
0.31242240653505443,3.0449433640534287e-05,1,394096,272,-214.91101,-5.372775
0.3124414332850794,1.268671675382441e-05,1,394113,273,-212.90851,-5.322713
0.3124961351914012,2.5368670199676804e-05,1,394187,274,-210.906,-5.2726502
0.3125413237227105,3.551064304701609e-05,1,394248,275,-208.9035,-5.2225876
0.31261822350406143,3.5501908227567234e-05,1,394345,276,-206.901,-5.172525
0.31266420481662177,5.831716933531104e-05,6,394395,277,-204.8985,-5.1224623
0.3126800604416426,3.296171116920261e-05,3,394397,278,-202.896,-5.0724
0.3126420069415926,1.7750548999122616e-05,4,394354,279,-200.8935,-5.0223374
0.31260078231653854,4.057587307866901e-05,2,394323,280,-198.89099,-4.972275
0.3125825483477646,2.0289737450797387e-05,5,394288,281,-196.88849,-4.922212
0.31258571947276875,2.0289222872040943e-05,1,394298,282,-194.88599,-4.8721495
0.3125793772227604,1.7753475242778772e-05,1,394289,283,-192.88348,-4.8220873
0.3126245657540697,1.775090910013034e-05,1,394346,284,-190.88098,-4.7720246
0.3126277368790739,2.0286598926331753e-05,3,394349,285,-188.87848,-4.721962
0.3126824387853957,1.2677002649493554e-05,2,394415,286,-186.87598,-4.6718993
0.3127022583166717,2.2817679137795963e-05,4,394431,287,-184.87347,-4.6218367
0.3126570697853624,1.2678449172097269e-05,3,394370,288,-182.87097,-4.5717745
0.312630115222827,1.7751629345979254e-05,5,394330,289,-180.86847,-4.521712
0.31263407912908225,1.2678899268681091e-05,1,394356,290,-178.86597,-4.471649
0.3126427997228437,2.0285518675355632e-05,1,394370,291,-176.86346,-4.4215865
0.3126475564103499,1.0142733618851284e-05,2,394371,292,-174.86096,-4.371524
0.3126959160666634,3.295811783794747e-05,3,394440,293,-172.85846,-4.3214617
0.3127601313479977,2.5347321675255185e-05,2,394519,294,-170.85596,-4.271399
0.31287191350439436,2.280443926417676e-05,1,394660,295,-168.85352,-4.221338
0.31294247103573697,2.7865667218069113e-05,1,394751,296,-166.85101,-4.171275
0.31294484937949013,4.306414023710609e-05,1,394760,297,-164.84851,-4.121213
0.3130241275045942,4.811807669514919e-05,1,394862,298,-162.84601,-4.0711503
0.31304553259837226,7.596879202023809e-05,2,394899,299,-160.8435,-4.0210876
0.3130391903483639,5.824642797449313e-05,4,394874,300,-158.841,-3.971025
0.3130851716609243,6.330075454499417e-05,2,394940,301,-156.8385,-3.9209626
0.31316603534853044,6.581478706385047e-05,1,395048,302,-154.836,-3.8709
0.3132302506298647,5.567886455610025e-05,2,395123,303,-152.8335,-3.8208375
0.31326671856741256,5.820279879545512e-05,3,395170,304,-150.831,-3.7707748
0.31333886166125724,5.8189104469682215e-05,1,395263,305,-148.82849,-3.7207122
0.3133658162237926,2.276855510749288e-05,2,395282,306,-146.82599,-3.6706498
0.31336660900504365,4.553595822834765e-05,2,395292,307,-144.82349,-3.620587
0.3133475822550187,2.529986666970265e-05,3,395259,308,-142.82098,-3.5705247
0.3133761223800562,3.794567191666119e-05,1,395302,309,-140.81848,-3.520462
0.31340704084884674,7.841074075385604e-05,4,395354,310,-138.81598,-3.4703994
0.31340466250509363,4.553100534989313e-05,4,395335,311,-136.81348,-3.420337
0.31338008628631137,3.288608260983952e-05,2,395304,312,-134.81097,-3.3702743
0.31333251941124896,4.0480913249402905e-05,1,395248,313,-132.80847,-3.320212
0.3132928803486969,5.8197791520328744e-05,2,395204,314,-130.80597,-3.2701492
0.3132825741924334,6.832070243803692e-05,2,395195,315,-128.80347,-3.2200866
0.31332934828624476,5.8190871117340626e-05,1,395251,316,-126.800964,-3.1700242
