layer,local_tam_p90,local_tam_mean,local_scr_mean,local_scr_std_spatial,n_valid_pixels
93,0.0014876145869493484,0.0008430401794612408,1186759.125,2434407.25,2206
94,0.0020180402789264917,0.001158210914582014,604791.8125,1602258.125,1994
95,0.0016018807655200362,0.0009107737569138408,1001210.875,2478326.5,2239
96,0.0018296322086825967,0.0009718293440528214,1529772.875,3211887.0,2370
97,0.001475955476053059,0.0008226800127886236,1072213.875,2412760.75,2589
98,0.0019932358991354704,0.0011336186435073614,939309.3125,2093763.0,2250
99,0.0016543923411518335,0.0009161580819636583,1026727.875,2502465.5,2517
100,0.0016177669167518616,0.000884293403942138,1042793.75,2259334.0,2352
101,0.001419399632140994,0.0008152892696671188,2036983.75,3830300.75,2455
102,0.0020251870155334473,0.0010987871792167425,1247813.25,2786335.5,2482
103,0.0016869157552719116,0.0009276078199036419,1043376.0,2488892.5,2594
104,0.0018029387574642897,0.0010335956467315555,837217.4375,2115063.5,2230
105,0.0013352275127545,0.0007901023491285741,1229332.75,2724447.0,2469
106,0.002055555582046509,0.001159466803073883,864834.25,2029356.5,2261
107,0.0017382263904437423,0.0009702274110168219,986671.5,2382690.5,2487
108,0.0017753764986991882,0.0009180433116853237,1567688.375,3135589.75,2441
109,0.0013458803296089172,0.0007762556197121739,970004.9375,1969061.625,2163
110,0.0018919914728030562,0.0010302384616807103,1316045.25,2974342.75,2229
111,0.0017180024879053235,0.0009539509192109108,1070666.375,2449812.0,2284
112,0.0017776915337890387,0.0009871333604678512,1285266.25,2847315.5,2280
113,0.0014056786894798279,0.00073760817758739,1590933.375,3117086.25,2668
114,0.0020071566104888916,0.0011999063426628709,568701.4375,1474771.125,2143
115,0.001678320113569498,0.0008963517611846328,1575433.625,3351889.5,2630
116,0.0017943046987056732,0.001002489821985364,860498.3125,1806594.125,2163
117,0.0015972239198163152,0.0008844780386425555,1073874.375,2493157.5,2485
118,0.0019464015495032072,0.0011886496795341372,660954.875,1318725.75,2107
119,0.0017036765348166227,0.000995582202449441,1087543.125,2830140.0,2458
120,0.001632548519410193,0.0008490438922308385,1429837.75,2686549.0,2478
121,0.0014805019600316882,0.000823616108391434,1601909.75,3331453.75,2603
122,0.0020910054445266724,0.0011983491713181138,1561729.125,3222560.25,2351
123,0.0016664713621139526,0.0009867590852081776,1027283.5,2508182.0,2446
124,0.0016597694484516978,0.0009287329157814384,1274463.375,2766934.75,2277
